date_raw,sender_name,text
9 weeks ago,OWWA ***********,Para sa mga katanungan:
9 weeks ago,OWWA ***********,Para sa mga katanungan:
9 weeks ago,Melanie ***********,"Hi po watching from kuwait
God bless all"
9 weeks ago,Antonette ***********,"Sir Arnel sana poh may livelihood program din kayo para sa mga pamilya nmin naiwan sa pinas
kasi super hirap makipagsapalaran sa iban bansa,Sana mapansin nyo po ako"
9 weeks ago,Hilda ***********,Shout out po from Hongkong
9 weeks ago,Dorothy ***********,Good evening po Sir Arnel
9 weeks ago,Jha ***********,Watching from muscat oman proud ofw (cook)
9 weeks ago,Angelica ***********,Good EVENING sir im watching from MACAU
9 weeks ago,Nore ***********,"Watching from alkhobar saudi Arabia
, God Bless"
9 weeks ago,Arabella ***********,Hello sir arnel ignacio shout out po..watching from Riyadh
9 weeks ago,Chel ***********,Hello po ser arnel ignacio and all the staff of owwa
9 weeks ago,Amadea ***********,shout out poh! watching from doha qatar
9 weeks ago,Sheree ***********,good afternoon everyone
9 weeks ago,Roselie ***********,Hi po Sir Arnel witching fr.Kuwait proud DH po. GOD BLESS YOU US ALL
9 weeks ago,Betz ***********,Good morning from the Bahamas
9 weeks ago,Espino ***********,"Good evnng poh, watching her in qatar.."
9 weeks ago,Jemma ***********,good evening Sir Arniel and your staff.Watching from al-ain UAE .GOD BLESS....
9 weeks ago,Lora ***********,Watching from greece
9 weeks ago,Rinbel ***********,Good evening po sir arnell I'm watching from Riyadh Saudi
9 weeks ago,Cynthia ***********,"Hi po good afternoon po sir arnel watching from Riyadh,sir arnel paano po mag avail ng scholarship ng OFWs,thank you po sir"
9 weeks ago,Fernandez ***********,"Watching from Kuwait
good day every one God bless all"
9 weeks ago,Raquel ***********,Watching from Riyadh God bless to all
9 weeks ago,لاز ***********,Good day poh mga sir at madam
9 weeks ago,Ben ***********,Watching from Cayman Islands... God bless sa lahat!!!!
9 weeks ago,Dorothy ***********,God bless po Sir Arnel and team
9 weeks ago,Sakura ***********,Watching from tokyo
9 weeks ago,Adlawan ***********,Good job may horoob
9 weeks ago,Lyn ***********,Thank You OWWA ang laki po ng natulong nyo po ako sakin OFW since 2014 po ako naka uwi po last 2021 gawa ng karadaman i am grateful na my OWWA na tumulong sakin God bless you all po
9 weeks ago,Nora ***********,Good day po from Athens Greece
