date_raw,sender_name,text
4 weeks ago,OWWA ***********,For your concern/s
4 weeks ago,Leony ***********,Im watching sir arnel from kuwait God bless po
4 weeks ago,Joy ***********,Have a good time Sir ARNEL & all stuff GOD BLESS YOU MORE......WATCHING FROM SAUDI ARABIA
4 weeks ago,Kris ***********,Watching from alkhobar ksa po
4 weeks ago,Asereth ***********,Watching frm.singapore po gd evening!
4 weeks ago,Babesmel ***********,GOOD EVENING WATCHING FROM HK.. GODBLESS EVERYONE
4 weeks ago,Burgos ***********,good pm sir/madam nag apply po ang anak q po ng scholarship ng owwa nag punta ang anak sabi close na daw noong july 15 ofw po aq dito sa qatar..tuban sta cruz davao del sur..tnx and God bless u all..
4 weeks ago,Mariam ***********,IM FLORA AMATORIO SIR HAVE A NICE DAY PO DITO PO AKO RIYADH SAUDI ARABIA
4 weeks ago,Honey ***********,Good day po wacthing from reyadh Saudi Arabia God bless all of you po
4 weeks ago,Liza ***********,Blessed day po oficer owwa. Watching from alquasem alkhbra. From Baguio city. Ereliza imelda Basilan. Stay safe always po mga oficer
4 weeks ago,Dhelvenleine ***********,Watching from Qatar
4 weeks ago,Marian ***********,Gd evening po watching from khobar saudi arabia keep safe po and god bless
4 weeks ago,Eleanor ***********,Name: Eleanor Celeste Sinogba
4 weeks ago,Amira ***********,Good evening po.... From bahay kalinga riyadh saudi arabia...
4 weeks ago,Lea ***********,Good evening po sir..me watching in Qatar..god bless you all
4 weeks ago,Espinosa ***********,"Good evening po,May God Bless to all"
4 weeks ago,Maria ***********,Watching from Hong Kong God bless and good day....
4 weeks ago,MG ***********,Good evening everyone watching from Riyadh saudi arabia godbless all ..
4 weeks ago,Cathy ***********,Watching Bahrain sir ma'am
4 weeks ago,Ghie ***********,Good afternoon watching from uae
4 weeks ago,Lorna ***********,Good evening po thank you po lahat cash assistance covid-19 dito po hong kong
4 weeks ago,Navz ***********,Good evening po watching from DOHA QATAR
4 weeks ago,Dexiellen ***********,Gd pm po watching her riyadh..
4 weeks ago,Lisa ***********,gd evening sir kakauwi q nung march dpat balik q july piro nd n aqo bumalik kc mula dubai may naramdaman aqo anu kaya ang benefits mkuha q salamat
4 weeks ago,DaiCharie ***********,Lupus Patient po ako dto sa kuwait
4 weeks ago,Macgill ***********,Hello po watching from Qatar.God bless po
4 weeks ago,Jho ***********,Watching from MADINAH
4 weeks ago,Marivic ***********,Pa shoutout po watching FROM KUWAIT GODBLESS ingat po
4 weeks ago,Michelle ***********,"Hello po sir,, watching for Saudi Arabia riyadh"
4 weeks ago,Jenny ***********,Gud day po sir...pwd po b mka ava akol s ofw loan..active po ako im working now in Saudi arabia...pla sir..
4 weeks ago,Rosemarie ***********,Watching from lebanon po
4 weeks ago,Eleanor ***********,"Travel documents q issued on March 28,2022 and Valid only until September 27,2022 po pahelp po ulit pa fallow up po kung may exit visa na po aq salamat po"
4 weeks ago,Beth ***********,"Good afternoon po sir,watching from Qatar,God bless po"
4 weeks ago,Mommy ***********,Watching from Muscat Oman
4 weeks ago,Hannah ***********,Sir I’m watching from macao..god bless po
4 weeks ago,John ***********,Hi god bless to all
4 weeks ago,Shan ***********,Watching hongkong sir maam
4 weeks ago,Aled ***********,Watching from Abu Dhabi
4 weeks ago,Ma ***********,Watching from dubai po..best regards maam sir
4 weeks ago,Leah ***********,Watching from Dubai UAE.... hello po
4 weeks ago,Ghing ***********,ma'am /sir as a for good ofw na allowed po ba to avail the Ofw Assistance kasi wla talaga ng naipo n...
4 weeks ago,Rosallie ***********,Watching from camarines sure sir terminate po aq member po aq nag Owwa until now for 12yrs ala po aq nakuha benifits
4 weeks ago,Fara-on ***********,Watching from Riyadh po sir
4 weeks ago,Rina ***********,Watching from Macau po
4 weeks ago,Bernadine ***********,Good afternoon po sir
4 weeks ago,Mary ***********,Watching from riyadh po
4 weeks ago,Laila ***********,Watching po from saudi po..
4 weeks ago,Jenny ***********,May I ask po what assistance can we ask for my sister who is an OFW po and now a migrant in UK but very ill now. She is with her two minor sons and we don't have any relatives their.
