date_raw,sender_name,text
8 weeks ago,John ***********,Palala lamang po sa mga ofws sa ksa wag mameke ng mga dokyumento may nahuli dito ngayon.
8 weeks ago,Rowena ***********,"Hello,watching po from uae"
8 weeks ago,Zhai ***********,Help nyo po aq sir arnel
8 weeks ago,Cbbc ***********,Good evening po Sirs and Mam
8 weeks ago,Agripina ***********,Hi Sir Arnel good evening Po!watching from San Joaquin Iloilo R6...2 YRS WAITING DOLE AKAP FOR FINANCIAL ASSISTANCE SANA SOONER MABIGAY NA
8 weeks ago,Merybeth ***********,Hello sir and ma'am Sana matulungan nyo nman ako 14year s abroad dahil s pandemic hindi nka balik active po s owwa bigyan nyo nman kmi assistance dito s pinas pag kabuhayAn
8 weeks ago,Airam ***********,"Sir arnel and all the staff, Good evening po! Ofw ng Kuwait 18 years po akong member nang OWWA, AT na lockdown po ako 2020, hindi na po nkabalik, sanay matulungan nyo po kahit sa anong paraan..."
8 weeks ago,Karen ***********,Paano Kong Hindi Naman distress gusto na lng talaga mag forgood Kasi pagod na 22yrs dto SA LEBANON at active OWWA MEMBER may makuha ba Kami after all lagi kaming Ng babayad Ng OWWA dto
8 weeks ago,Nene ***********,Hello po watching from Cyprus Europe God bless po sa inyo lahat
8 weeks ago,Myra ***********,Hello poh.. Watching from ksa.. God bless poh..
8 weeks ago,Judy ***********,Watching from Hong-Kong gd evening po
8 weeks ago,Endy ***********,Good evening po sir Ignacio at sainyong lahat Dyan God bless you all
8 weeks ago,Jovina ***********,"Hi po sir Arnel Ignacio,,,, watching frm Lebanon po"
8 weeks ago,Mally ***********,Hello sa inyo lahat Sir Arnel watching from OFW Abudhabi UAE more than 5 years na hind nakakauwi jan pinas po kilan uli ang Repatriation po Sir Arnel my cp numbers +*******
8 weeks ago,Maricel ***********,"Gud pm po sana napansin nyo po comment ko,. Ngswabtest nnman po kmi, buti nlang negative na ako hanggang ngayon wla p po yung cash assistant galing s owwa, dto po ako s hk"
8 weeks ago,Rechelle ***********,Watching from saudi riyadh po
8 weeks ago,Gen ***********,Watching from Kuwait po
8 weeks ago,Alda ***********,Hello po watching from Bahrain
8 weeks ago,Love ***********,Watching from Qatar God bless you all
8 weeks ago,Arabella ***********,Hi po sir arnel ignacio..watching from Riyadh Saudi
8 weeks ago,Rinbel ***********,"Good evening po sir arnell, I'm watching from Riyadh Saudi"
8 weeks ago,Aileen ***********,Waching from Saudi Arabia Riyadh sir God bless
8 weeks ago,Wilma ***********,God bless everyone po
8 weeks ago,Grace ***********,Good evening po mga sir/Mam Sana po mai extension ang application of scholarship ng mga owwa members kaka graduate Lang po kasi ng mga bata. Salamat
8 weeks ago,Rutchel ***********,Maraming Salamat sa Owwa sa mga ayuda na ibgay dito sa Lebanon.
8 weeks ago,Maricel ***********,"Dto po ako hk ngayon., nkailang email n po ako NG mga equirments, ngpositive po kmi,. Hanggang ngayon wala png nkukuha"
8 weeks ago,Maricel ***********,"Hello po good day,watching from qatar"
8 weeks ago,Laura ***********,"hello po 30yrs napo kami dito sa saudi, mag for good n po ngaung july 15, anung benepisyo po ba o assitance ang mattanggap nmi...salamat po"
8 weeks ago,Mylene ***********,Hello po sis arnel watching rome italy
8 weeks ago,Beth ***********,Hello po gud eve..to all staff
8 weeks ago,MJ ***********,Hello Mga sir
8 weeks ago,Yrrech ***********,Hello po mga maam/sir watching from UAE
8 weeks ago,Daisy ***********,Watching from Riyadh Saudi
8 weeks ago,Giana ***********,"Watching in Abu Dhabi,UAE"
8 weeks ago,Elizabeth ***********,"Ok po Salamat
God Bless"
8 weeks ago,Shie ***********,Watchin6 from Taiwan .. God bless you po..
8 weeks ago,Laura ***********,Sir tanung po ako 30 year na po ako dito uuwi na po kaming mag asawa for good na po Ang tanung kupo ano po bang assistance na makukuha ko pa
8 weeks ago,Nenita ***********,Hello po sir arnel isang OFW po ang asawa ko ano po ba ang eksaktong address po maraming salamat po
8 weeks ago,Jenny ***********,Sir panu Po Maka kuha nang scholarship sa isabela po anak ko dto Po ako sa Saudi now
8 weeks ago,Ann ***********,"good day po,,, watching from Doha Qatar"
8 weeks ago,Lerma ***********,Salamat po and God bless
8 weeks ago,Lerma ***********,Good pm po.... distressed ofw po ako sir Arnel. Ano po b kelangang documents pra po makalapit s owwa
8 weeks ago,Yaya ***********,Hello sir arnel ofw po ako umuwi ako 2019 ako umuwi maka avail po ba ako ng pang negosio sana thnks po.
8 weeks ago,Jason ***********,Good afternoon po from qatar
8 weeks ago,Ara ***********,God evening din po tga owwa group wtching from Saudi Arabia
8 weeks ago,Dylanie ***********,Hi po sir good afternoon
8 weeks ago,Leticia ***********,SIR MATANONG KO LNG PO.UMUWI PO AKO NUNG 2019 21 YRS PO SA LEBANON.BKT WALA PO AKONG NATANGGAP NG 20K.PANG BILI SANA NG GAMOT MAINTAIN KOPO.PERO WALA NMAN PO.ANONG LINK PO BA
8 weeks ago,Haii ***********,"Hello po,sir arnel watching here fron Hongkong cut off naba po yung scholarship sa school 2022-2023 nqgpunta po asawa ko at anak ko sa Cebu Owwa po kagapin pra mag apply sabi po cut off nah daw"
8 weeks ago,Lelia ***********,"Sir bakit WAla po akong matanggap na owwa assistant kakauwi kulang nong may 21 ,2022 2yrs nd 4mons akO sa Saudi me piso WAla Man akong matanggap na tulong mula sa owwa"
8 weeks ago,Emz ***********,Sir arnel ofw macau needs po attention sa pangyayari now sa covid pandemic po..
8 weeks ago,Emz ***********,Sir arnel ano po maitutulong nyo dto sa mga ofw macau po sobrang problimado na sa covid attact..
8 weeks ago,Sitti ***********,"Good evening po sir arnel,sna po mkapasok anak ko sa schoolarship ng owwa,,matagal na po akong ofw sa QATAR,,god bless at marameng salamat po"
8 weeks ago,Remsky ***********,Sir Arnel Ignacio dati po Akong OFW need ko po Sana trabaho OFW AKO since 2001 until 2020
8 weeks ago,Amy ***********,Hello po sir Arnel goodluck po ...
8 weeks ago,Liza ***********,"Blessed
evening po sa inyong lahat thank you."
8 weeks ago,Lucky ***********,"October last year lng po nkaalis ang asawa ko kc naabutan cya ng lockdown po dto s amin kaya po nghirap po kme noonh nandito Pa po cya, kaya sana po pgpalain nyo po kme"
8 weeks ago,Kris ***********,Maraming salamat din sir ARNEL napapanuod kita lagi sa raffy tulfo in action lagi mabilis action mo sa mga ofw. Thanks so much din polo owwa
8 weeks ago,Caballes ***********,Sir Arnel baka pwd nman makakuha ng scholar k11 na kc anak ko nag babayad nman ako ng OWWA every 2 years
8 weeks ago,Rachelle ***********,Sir sana n man po bigyan nio ng pansin yong mga nakalagay s contrast pero d n man sinusunod sana po ma actionan nio po
8 weeks ago,Yhadz ***********,hello po Sir arnel tulongan nyo po ako makuha yong anak ko sa schoolarship ng owwa single parent po ako sir 5 po pinapa aral ko 2 college
8 weeks ago,KJ ***********,SIR ARNEL KANINA PA PO AKO NAG COCOMMENT SANA PO MAPANSIN NYO PO AKO SIR PLEASW LANG PO
8 weeks ago,Gean ***********,GOD BLESS PO..SAINYO
8 weeks ago,Liza ***********,Watching from Al khobar gud evening po God bless po
8 weeks ago,Ivan ***********,"Salamat sa owwa lalo na KY sir arnel napapansin ko Ang sipag mag live at mabilis umaksyos sa.mga problema,godbless Po sa inyo#uae"
8 weeks ago,Pangga ***********,Good eve po...
8 weeks ago,Indhay ***********,Good evening po Sir Arnel!
8 weeks ago,Merybeth ***********,Sir Sana matulungan nyo po kmi OFW na pinas di nka balik dahil s pandemic
8 weeks ago,Arriane ***********,Helo po ..watching dubai.
8 weeks ago,Eve ***********,Tanong lang po sir arnel kung uuwi ba sa pinas wala na pcr no nid nba one health pass full vacinated po ako residence po sa israel
8 weeks ago,Loida ***********,"Good evening po Sir Arnel Ignacio and the team, Region 2 po ako,Napauwi po ako at NagApply ako dito SA OWWA Tuguegarao ng balik manggagawang program,Hanggang ngayon wala pa po silang sagot"
8 weeks ago,Princess ***********,Watching from KSA RIYADH
8 weeks ago,Elizabeth ***********,Sir Arnel Pano po ba makakuha Ng scholarship para sa 2 Kong anak isang g9 at g12 na po Pano po makakuha for scholarship ? Sana po mapansin ang questions ko po Salamat
8 weeks ago,Irene ***********,Nkakuha po aq slot pro bkit next year n daw un maggamit ng anak q sbi ksi sa kanya late n daw po submission ng mga application pasagot nmn po kong bkit next year n daw ehhh d p pla tpos submission
8 weeks ago,Mari ***********,Hindi maganda ang experience ko dati na renew ako ng resibo lang dala ko pero kahapon ang dami nyang sinasabi pero sa cp nya nka tingin dot2 ng dot2.. kaya bawalan ako gana bumalik para ma renew...
8 weeks ago,Adleen ***********,Active po owwa ko kaso Yung anak ko Pina Punta ko sa owwa sa intramuros kahapon mang hingi daw po ng request galing region8 pls pa help po from jeddah no.*******
8 weeks ago,Asher ***********,"Good evening poh, mahigit isang taon na poh for release ang dole akap ko, pero hanggang nagyun wla pa rin akong narerecive na txt or email para makuha ang dole assistance. Sana po maaksyunan nyu"
8 weeks ago,Cherry ***********,Hello po sir arnell pno po b mg avail ng owwa pra s pg aaral ng anak ko
8 weeks ago,Clyde ***********,Good evening po sir DA Arnel ..god bless po ...
8 weeks ago,Rezalie ***********,Low sir thank u sa info God bless watching from jeddah
8 weeks ago,Janice ***********,Good evening po
8 weeks ago,Emms ***********,Thank u so much po sa owwa...1 po ang anak ko sa nka avail ng edsp scholarship...salamat po and God bless
8 weeks ago,Rebecca ***********,GOD BLESS PO KAYO LAHAT
8 weeks ago,Sam ***********,2006 pa po aqo unang nag abroad sir sana man lang makapasok sa scholarship mga anak q sir marami pong salamat
8 weeks ago,Alvin ***********,Ma walang galang po good eve..ung kasama k dto s bahay umuwi sya 2019 galing kuwait n disgrasya po sya bali ang paa at kamay may maiturulong po kaya tayo sakanya sir salamat po
8 weeks ago,Evangelista ***********,Watching from Hong Kong
8 weeks ago,Lhea ***********,Hello po good evening to all
8 weeks ago,Martina ***********,"THANK very much OWWA
MARAMI po ko benifits Galing sa inyo un panahon pandemic un umuwi ko Nov 2020 dahil sa aKing karamdaman
God Bless you po sa Inyo"
8 weeks ago,Mudz ***********,Watching from Lebanon
8 weeks ago,Maria ***********,Mag asawa po po kming ofw tpos hnd mn lng po mkpasok ang anak ko s scholarship n yn.mataas nmm pp lagi ng grades ng anak ko.mag second yr college n.sana nmn po mabigyan nyo ng pansin sir Arnel Egnacio
8 weeks ago,Ledimarz ***********,Thank you owwwa last year ng vacation ako .free hotel quarantine
8 weeks ago,Gemma ***********,Watching from singapore
8 weeks ago,Vhev ***********,Hi po watching from.kuwait..hapy hapy life po..
8 weeks ago,Floramie ***********,Sir pwede Kaya mka avail sa mga good benifit sa owwa kasi pa exit na poh kmi for good mlapit na poh
8 weeks ago,Angel ***********,angelus Largo po Riyadh Saudi Arabia
8 weeks ago,Dante ***********,Sir.Good afternoon po OFW po ako dito sa Qatar gusto ko lang po humingi ng Tulong regarding sa Lending na hiniraman ko ng Pambayad sa Placement fee na 50K sa Agency ko sa Pilupinas.
8 weeks ago,Laura ***********,Sir dito po kaming mag asawa sa Saudi 30 years na po kami mag for good na po .ano po kayang assistance ang pwede naming makuha salamat po
8 weeks ago,Annaliza ***********,Im watching from Riyadh
8 weeks ago,WengJane ***********,Goodevening Phillipines good afternoon Middle.east hello po mga madam sir taga polo Owwa sir arnel
8 weeks ago,Romeobel ***********,Sir ano ba po ang requirements pag apply ng scholarship sir mag 13yrs na ako dto sa amo ko sir dto po ako sa Bahrain nagtrabaho household
8 weeks ago,Red ***********,Sir surigao city po ako andito ako sa saudi arabia binagyo po kami doon nasira bahay namin may makukuha po ba kami na benifits?
8 weeks ago,Cleo ***********,Sir gud evening po paano ko po makukuha ung inapply ko na owwa akap nad2 na po ako sa qatar d na po pati active ung number ko
8 weeks ago,Nenita ***********,Good evening po
8 weeks ago,Olivia ***********,Sir kung ung allowance po ng scholar sa Owwa d binigay ng Owwa pero me nag claim doon sa record ng payrool ? Saan po napunts ung fund na pera para sa student? I have the record
8 weeks ago,Nylednew ***********,Watching from dammam
8 weeks ago,Anang ***********,Hello po ask ko lng po kng pano po mag apply ng scholarship para sa anak ko.active ofw po aqu.dto sa qatar.taga ramon isabela po kmi
8 weeks ago,Elena ***********,Hi maam and sir good evening watching from Quirino province
8 weeks ago,Jenny ***********,Hi poh watching from Africa
8 weeks ago,Editha ***********,sir date po pabalik balik na ako sa amo ko.twuwing uwe lang aako nakakarenew nkalipas ng tatlong taon bago magrenew kailangan po ba every 2 years ang renew.
8 weeks ago,Chubbybutcute ***********,gob bless po thank you
8 weeks ago,Jasmin ***********,hdllo po jasmin pagador dela cruz from saudi rhiyad
8 weeks ago,Merybeth ***********,Sir arnel paano po Maka avail ng ofw assistance dito na po ako s pinas
8 weeks ago,Jeanie ***********,hello po...watching from hongkong
8 weeks ago,Marivic ***********,Sir mam ano po at cno po pwede lapitan mpauwi lbg tatay ko s yemen
8 weeks ago,Dormelita ***********,Good afternoon po sa inyung lahat sir Arnell
8 weeks ago,Leona ***********,"Sir Arnel, ano na po ang update sa DOLE AKAP ng OWWA? More than a year na pong na pending. 20yrs po ako sa HK na wala namang natanggap na tulong mula sa OWWA"
8 weeks ago,Luisa ***********,Hi po watching from riyadh ksa
