date_raw,sender_name,text
ek ago,Faithfully ***********,"Good evening to all of you there Sir Arnel OWWA administrator . Watching from OFW Singapore
stay safe po"
ek ago,Melody ***********,Sir/ maam ..sa dswd assistance program.plagi.po nsa.listahan ang ofw na pwede mka avail bkit po kpg mag aapply kmi plagi sinasabi hndi kmi qualified kc daw poabroad..pki explain
ek ago,Nylesor ***********,"Gud pm po,sir kung not finished contract and still working now at saudi member po still ng owwa,and when po ang expired nito"
ek ago,Liza ***********,Hello po sir oficer owwa bless day po sa inyo waching from alquasem
ek ago,Tongyoung ***********,Goodevening Po.. ofw Po akoask Po Ako ng assistance.sea
ek ago,Crista ***********,Good afternoon pouh from Riyadh Saudi Arabia...asked q lng pouh mag 4yrs pouh aq dz September my mkkuha pouh vha aq xah employer q at anu pouh requirements pra umuwi ng pinas
ek ago,Mary ***********,Good day po sir sana mkauwi na ako dhl sa xray result kopo noong july 6 need ko magpa MRI at orthopedic pro d poh ako binibigyan ng amo ko ng visa noong August 2 papo ako d2 sa polo shelter slmat at good bless po
ek ago,Jocelyn ***********,Watching from Macau
ek ago,モハマド ***********,good day po under agency po kc aq asked ko lng po if my bayad ang pg stay nmin sa accomodation kc po d po kmi ndedeploy agad
ek ago,Ar-chie ***********,Sana po mabgy ma un dole AKAP nmn sa region 4a 1yr almost npo waiting sa for release pro gang ngaun wla pa po
ek ago,Sarili ***********,complete kami requirements pero wala pa rin cash assistance for covid from HK
ek ago,Fajardo ***********,Magandang tanghali po from istanbul turkey
ek ago,Maria ***********,Thank u po sa Owwa at s lahat ng staff..god bless natanggap kona ung Medical cash asistance ko..malaking tulong a family ko..watching Riyadh Saudi Arabia
ek ago,Vanessa ***********,"Sir grade 10 at grade 7 po ang anak ko ofw po ako ng 9yrs at ngyn mag 6months na po ako dto sa kuwait pano po mg avail ng scholarship para sa mga anak ng OFW sir,"
ek ago,Complicated ***********,watching from zamboanga city ofw in rhiyad sir
ek ago,Sarili ***********,Cash assistance po namin nasan na bakit ganon hinahanap samin ang wala
ek ago,Beatrize ***********,Active po owwa ko nag work pa ako ngayon saudi paano maka avail mga anak ko scholarship ako na po kasi nag work wala na silang papa.
ek ago,MG ***********,Very clear po sir
ek ago,MG ***********,May tanong lang sana po ako saan ba maka pag aply sa ofw pabahay po
ek ago,Rose ***********,Hello Sir ma'am.tanong lang Po mag 3 years na Ako sa amo ko may makakoha ba Ako indemnity? watching Al Khobar.
ek ago,Ashia ***********,BPBH po dito sa OWWA BARMM wla pa din po
ek ago,Fajardo ***********,Mahina po at mejo blur pede po patanggal ng mask para marinig po ng aus ang inyong mga magagandang boses at makikita ang tunay ng gandang pilipino
ek ago,JM ***********,Good day po paano namin makuha ang end services po riyadh po ako uwi ako sa December
ek ago,Ruby ***********,Watching from kuwait
ek ago,Lyrehs ***********,Panu po makakuha ng cash assistance pra po sa lindol last july 27 po..thank u po
ek ago,Kai ***********,Hello po sana makasali anak ko sa scholorship..
ek ago,Jade ***********,Kilan po kayo maglalabas ng result tungkol sa scholarship po ngayong 2022-2023
ek ago,Corazon ***********,"Hello po watcing from qatar,paano po ba mag aplay ng financiall assistance ,magforgood na po ako next year February 2023,,"
ek ago,Rebecca ***********,Sir arnel ako po si Rebecca Agarpo waiting pa rin para sa tulong para maisaaus ang a king problem sa unpaid salary sir
ek ago,Maria ***********,Sir..gandang umaga po ..pwede po ba mg apply ng Ofw E card kahit and2 pa kmi s saudi
ek ago,Ailene ***********,Sir how po ma proceed ang papers ko as solo parents ofw.Nakabalik na po ako sa amo ko dto riyadh dpa tpos ang pasa ko ng papel ko .pls help naman po 4 po kids ko lahat nag aaral
ek ago,Ronald ***********,"Owwa young dole akap namin kaylan nyo ibigay, concerned branch owwa ILOILO."
ek ago,Maribeth ***********,Hi po from kuwait may mesage po ako sa inio
ek ago,Jade ***********,Hello po sir paano po mag apply ng livelihhood po thanks
ek ago,Mariam ***********,Watching from Malaysia
ek ago,Monaliza ***********,Watching po from pakistan
ek ago,Ef ***********,Kilan po ulit magdeploy ng worker sa saudi???
ek ago,Nick ***********,Sir anu pong need requirements kpag for good n po sa pilipinas
ek ago,Jannet ***********,Watching from jeddah
ek ago,Demonyetang ***********,Gandang hpon po watching from oman single mom with 3kids
ek ago,Yuki ***********,good afternoon po from qatar
ek ago,MG ***********,Hello po im watching feom lebanon
ek ago,Roderick ***********,Sir Arnel tanong ko LNG po kng my mkha po b yng hinde nkatapos Ng contrata terminate po cla my mkkha po b SA Owwa sir Arnel dto po ako SA Doha Qatar.company po nmin sir Vector Electro Mechanical sir Arnel .
ek ago,Vanessa ***********,Sir ngoa cane claimant po ako sa dole akap bkit hanggang ngaun po wla p din po
ek ago,Christopher ***********,"Ask ko lng 15 years nko ofw as a single person in one company lng,, active ako sa owwa membership in 15 years ,,,kapag ba ako mag for good ano po ba ma avail kong benefits"
ek ago,Nhildz ***********,Sir yong samin Po Grant approved na po kami for release nalng since April/ May pa na grant until now Wala pa po
ek ago,CF ***********,"Good evening ma'am/sir , ask ko lang po about sa OEC ko ,Yong nakalagay po na expiration ay September 3 ehh paalis na po Kasi ako ngayon September 6, ano po ang gagawin ko?"
ek ago,Tolentino ***********,Sir Arnel ..ganu po b katagal bago nmin mkuha ung tulong galing OWWA Overseas Workers Welfare Administration distressed ofw po ako
ek ago,Caballero ***********,"Kapag pcr positive po, pwede po mag ask ng help sa OWWA? Example quarantine in hotel instead of local government facility..thnx"
ek ago,ۦۦ ***********,Ano po need para makkuha ng cash assistance
ek ago,Jazjen ***********,Good afternoon po watching from UAE
ek ago,Roseny ***********,Ask ko po pwede ba mg avail NG scholarship ang mga pamangkin kc po single ako tpos ako ung NG papa aral NG pamangkin ko
ek ago,Tessie ***********,Thank you po OWWA sa scholarship ng anakko. Nakatapos na sya ng 4 year course (#CUMLAUDE) thank you po. God bless you all
ek ago,Maribel ***********,Good Eve po sir watching from dammam God bless us all
ek ago,Nancy ***********,Gandang hapon po watching from Qatar
ek ago,Amelia ***********,God bless po s inyo lahat watching from kuwait
