date_raw,sender_name,text
7 weeks ago,OWWA ***********,For your concerns:
7 weeks ago,Gray ***********,My daughter just graduated BSN at Saint Louis University. She was an OWWA CAR EDSP Scholar for 4 years. Thank you so so much po. It was a great help for me being an OFW single parent. More power OWWA
7 weeks ago,Minnie ***********,"Watching from Kuwait po, hello"
7 weeks ago,Jena ***********,Hello good evening sir dati ako ofw pro di na ako bumalik kse wlang mg alaga sa ank ko gsto ko sna humingi ng kunting tulong kht sa pangkapital lng God bless you
7 weeks ago,Custodio ***********,Concern: regarding my OWWA membership po pwd po bang malaman kng active po sya pls Ofw po ng Hongkong Mercy Cedre po
7 weeks ago,Fe ***********,Sir mam.tanong lang po.halinawa po ako mag for good na ng pinas.may makukuha ba ako 28 year na ako dto
7 weeks ago,Ethel ***********,Estrella Fernando Carajay
7 weeks ago,Rubhy ***********,Tanong po lng mga sir n mam tagal nko sa amo ko 4years n 6months hnd pako binilhan ticket parate lng nag sasabi na book na.at my makukuha ba ako ng endimity. Tnx
7 weeks ago,Adda ***********,Hi.. is there any other way i could reach sir arnel ignacio po..?? pls..
7 weeks ago,Celyn ***********,Mam n sir ask ko lng po wla p po kau offer ngaun ng scholarship kc my kptd po ako n mgcollege region 1 po
7 weeks ago,Marietes ***********,"Hello Sir, watching from Malaysia"
7 weeks ago,Meng ***********,Good day po sana matulungan nyo po ako makauwi dahil po natangal po ako sa work dahil po absentisims daw po Wala po Kasi sila binigay na healthcard samon kaya di kami makapag medical
7 weeks ago,Salvaje ***********,Watching from Dubai Sir Sana mataasan na yung sahod nming OFW dito sa Matagal ng 1500 dirhams ang sahod nmin Mahal ng bilihin Hindi mman libre lahat personal things nmin.
7 weeks ago,Lalaine ***********,"Magandang gabi po, sana po alisin n ang swab test yung my booster n at my BOQ kasi dagdag gastos po s bayarin pag alis ng bansa."
7 weeks ago,Hadjali ***********,Sir my pinsan k s makkah saudi Arabia tpos n contrata hnde pna pauwe gs2 n tlaga umuwi lgi nlng pna pasa ng amo m saklap p lgi mtaas bp nia
7 weeks ago,Remz ***********,Watching here in abudhabi UAE
