date_raw,sender_name,text
a week ago,OWWA ***********,For your concern/s
a week ago,Nelspie ***********,Watching from Dubai.
a week ago,Emil ***********,"Sir Sana po mtulongan nyo Rin po kmi dto sa Saudi Arabia sa company nmin dhl karamihan samin ay expired Ang eqama at hnd binibigay Ang benifits nmin at lagi po delay Ang sahod,,, salamat po"
a week ago,Jonalyn ***********,Please sir need ko po ng tulong pra makauwi n po aq.me sakit po aq
a week ago,Estela ***********,watching from romania hello po s lahat..
a week ago,Mi ***********,sir gud eve may makukuha po ba s owwa matagal n po kong ofw marami n din pong bansa napuntahan bk po matulungan ng financial assistant
a week ago,Dhang ***********,Good afternoon po 16years na po member ng owwa paano po makakuha ng benepisyo my dalawAng anak po na pinapaaral uae po ako ******* kahit maka avail lng po sana sa kaunting negosto salamat po
a week ago,Regina ***********,Watching from al qassim buraidah
a week ago,Ikaw ***********,Gud day po sir mam taga tondo manila po aq pro nsa uae po aq nw merun po b aqng pwde mlpitan s owwa pra s anak qng may skit s puso single mom po aq naway mtulungan nyu po aq
a week ago,Lie ***********,Good afternoon po I watching from Bahrain
a week ago,Marilyn ***********,Watching from Saudi
a week ago,Ginalyn ***********,Watching from Al Qasim KSA
a week ago,Sheree ***********,good evening every one...god bless you all...stay safe
a week ago,Sandrina ***********,Watching from cyprus
a week ago,Rosalina ***********,Sana po mapansin nyo tong msg ko pra malaman ko kng ano shut nyo skin at Sana matulongan nyo po ako
a week ago,Marie ***********,"Good afternoon po, watching from Israel
God bless"
a week ago,Scarlet ***********,Hi good evening im watching frm malaysia..
a week ago,Sarsona ***********,Good pm po dto po q s saudi 10 yrs n po q.gsto q po mg for good n anu po ang ma avail q owwa sana po mapansin din inyo q slmat po..
a week ago,Marivic ***********,Ask ko lang po updated po ba ang system nyo sa owwa kasi ng apply ng scholarship ng anak ko ang sabi inactive daw po since 2021..eh last po akong umuwi 2018
a week ago,Rochell ***********,Paadvise nman po mga sir/mam plno kopo sana din npo bblik dito sa amo ko posible poba ndi po nila ibigay 2014 papo ngstart my mkkuha poba s knila sa 8yrs n pgstay kopo sa amo endemity
a week ago,Josie ***********,Good morning afternoon ma'am and sir watching from kuwait
